aircraft_type,country,type_of_travellers,route,seat_types,seat_comfort,cabin_staff_service,ground_service,food_beverages,wifi_connectivity,inflight_entertainment,value_for_money,recommended
A319,United Kingdom,Business,Cologne to Gatwick,Economy Class,3.0,2.0,1.0,0.0,0.0,0.0,2.0,no
Boeing 777,United States,Couple Leisure,Tampa to Gatwick,Economy Class,2.0,2.0,1.0,2.0,0.0,2.0,1.0,no
A320,United Kingdom,Business,London Heathrow to Madrid ,Economy Class,5.0,5.0,5.0,0.0,0.0,0.0,5.0,yes
Boeing 777,United Kingdom,Couple Leisure,Gatwick to St Lucia,Business Class,2.0,1.0,3.0,1.0,1.0,1.0,1.0,no
Boeing 777,United Kingdom,Business,London to Austin,Economy Class,4.0,5.0,5.0,3.0,0.0,4.0,4.0,yes
A320,United Kingdom,Family Leisure,London to Pisa,Business Class,1.0,4.0,3.0,2.0,0.0,0.0,1.0,no
B777,United States,Couple Leisure,Edinburgh to Boston via London,Economy Class,1.0,2.0,1.0,1.0,0.0,1.0,1.0,no
Boeing 777,United Kingdom,Couple Leisure,Gatwick to Mauritius,Economy Class,1.0,3.0,2.0,2.0,0.0,1.0,2.0,no
B747-400,United Kingdom,Business,Chicago to London Heathrow,Business Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
Boeing 747-400,United Kingdom,Business,London to Chicago,First Class,1.0,2.0,1.0,1.0,1.0,1.0,1.0,no
A380,South Africa,Business,London to Johannesburg,Business Class,2.0,1.0,4.0,1.0,0.0,3.0,1.0,no
Boeing 787-9,United Kingdom,Business,Doha to London Heathrow,Economy Class,3.0,3.0,3.0,3.0,2.0,2.0,3.0,yes
Boeing 787-9,South Korea,Business,London to Seoul,Premium Economy,5.0,4.0,2.0,3.0,0.0,3.0,4.0,yes
Boeing 747-400,United Kingdom,Family Leisure,London to New York JFK,Premium Economy,4.0,5.0,5.0,4.0,3.0,5.0,4.0,yes
Boeing 777,United Kingdom,Business,Gatwick to St Lucia,Business Class,4.0,4.0,3.0,4.0,0.0,4.0,3.0,yes
Boeing 787,Spain,Couple Leisure,Baltimore to London Heathrow,Economy Class,1.0,1.0,2.0,1.0,0.0,1.0,2.0,no
A320,United Kingdom,Couple Leisure,London to Athens,Economy Class,3.0,5.0,1.0,1.0,1.0,1.0,2.0,no
Boeing 787,United Kingdom,Couple Leisure,New Orleans to London,Premium Economy,5.0,4.0,4.0,5.0,0.0,5.0,5.0,yes
Boeing 787-9,United Kingdom,Couple Leisure,Tokyo Narita to London Heathrow,Business Class,4.0,3.0,5.0,5.0,0.0,5.0,4.0,yes
Boeing 777,United Kingdom,Couple Leisure,London to Tokyo Haneda,First Class,5.0,5.0,5.0,5.0,0.0,5.0,4.0,yes
A320,United Kingdom,Couple Leisure,Edinburgh to London Gatwick,Economy Class,3.0,4.0,5.0,0.0,0.0,0.0,4.0,yes
A320,United States,Family Leisure,London Heathrow to Paris CDG,Economy Class,3.0,4.0,4.0,4.0,1.0,2.0,4.0,yes
A380,United Kingdom,Family Leisure,Johannesburg to London,Business Class,3.0,3.0,3.0,3.0,4.0,4.0,3.0,yes
A380 / A319,Switzerland,Solo Leisure,Berlin to Johannesburg via London,Economy Class,3.0,3.0,4.0,2.0,0.0,3.0,4.0,yes
Boeing 777,United States,Family Leisure,New York JFK to London Heathrow,Economy Class,3.0,4.0,3.0,3.0,1.0,2.0,3.0,yes
A380,United Kingdom,Couple Leisure,Johannesburg to London ,First Class,4.0,3.0,3.0,3.0,3.0,3.0,3.0,yes
A380,United Kingdom,Couple Leisure,London to Johannesburg ,Business Class,3.0,4.0,3.0,4.0,0.0,3.0,3.0,yes
A380,United Kingdom,Family Leisure,London to Johannesburg,Business Class,4.0,5.0,4.0,4.0,4.0,5.0,4.0,yes
A320,Ireland,Business,London to Dublin,Business Class,5.0,5.0,2.0,5.0,0.0,0.0,5.0,yes
Boeing 777,United Kingdom,Couple Leisure,Bermuda to Gatwick,Premium Economy,1.0,1.0,3.0,1.0,1.0,1.0,1.0,no
A321-200,Switzerland,Solo Leisure,Zurich to Heathrow,Economy Class,1.0,4.0,1.0,0.0,1.0,1.0,2.0,no
A380,United States,Solo Leisure,Miami to London,Premium Economy,3.0,4.0,3.0,1.0,3.0,3.0,3.0,no
A321,Sweden,Solo Leisure,Copenhagen to Amsterdam via London Heathrow,Economy Class,5.0,5.0,2.0,0.0,0.0,0.0,5.0,yes
Boeing 777-200,United Kingdom,Couple Leisure,Antigua to Gatwick,Premium Economy,1.0,2.0,4.0,2.0,0.0,3.0,1.0,no
Boeing 787,United States,Solo Leisure,Bucharest to London Heathrow to Los Angeles,Economy Class,1.0,5.0,5.0,2.0,1.0,1.0,1.0,no
Boeing 747,United Kingdom,Business,London to Miami,Business Class,1.0,2.0,3.0,1.0,0.0,1.0,1.0,no
Boeing 787 Dreamliner,United Kingdom,Business,London to Calgary,Premium Economy,3.0,3.0,4.0,3.0,3.0,4.0,2.0,yes
Boeing 787,United Kingdom,Business,Calgary to London,Premium Economy,3.0,4.0,3.0,3.0,3.0,3.0,2.0,no
Boeing 777-200,United Kingdom,Business,Bangalore to London,Premium Economy,2.0,2.0,2.0,2.0,0.0,1.0,1.0,no
777,United Kingdom,Couple Leisure,San Francisco to London,Economy Class,1.0,1.0,1.0,1.0,0.0,1.0,1.0,no
Boeing 747,United Kingdom,Solo Leisure,Heathrow to Vancouver,Economy Class,4.0,4.0,4.0,3.0,0.0,2.0,1.0,no
A320,United States,Solo Leisure,London to Bucharest,Economy Class,1.0,4.0,5.0,1.0,0.0,1.0,3.0,no
A319,United Kingdom,Business,Stuttgart to London,Economy Class,1.0,1.0,1.0,0.0,0.0,0.0,1.0,no
Boeing 777-200,United States,Couple Leisure,London to Boston,Economy Class,1.0,5.0,4.0,4.0,0.0,4.0,4.0,yes
Boeing 747-400,United States,Couple Leisure,Boston to London,Economy Class,2.0,3.0,4.0,5.0,0.0,5.0,4.0,yes
Airbus A320,United States,Couple Leisure,London to Athens,Economy Class,4.0,1.0,2.0,0.0,0.0,0.0,4.0,no
A380,South Africa,Couple Leisure,London to Johannesburg,Economy Class,5.0,5.0,5.0,5.0,0.0,5.0,5.0,yes
Boeing 787-9 / 777 ,United States,Solo Leisure,Newark to Bangalore via London,Premium Economy,4.0,4.0,4.0,4.0,0.0,4.0,3.0,yes
Boeing 777,United Kingdom,Solo Leisure,London to Mumbai,Economy Class,5.0,5.0,5.0,5.0,0.0,3.0,4.0,yes
Boeing 777,United Kingdom,Family Leisure,Heathrow to Sydney via Singapore,Economy Class,1.0,3.0,2.0,2.0,1.0,1.0,2.0,no
A319,Thailand,Solo Leisure,Leeds Bradford to London Heathrow,Economy Class,3.0,5.0,5.0,0.0,0.0,0.0,4.0,yes
A320,United Kingdom,Solo Leisure,Gatwick to Tenerife,Economy Class,1.0,3.0,5.0,4.0,0.0,0.0,3.0,no
A380,South Africa,Couple Leisure,Johannesburg to London,Business Class,1.0,1.0,2.0,1.0,0.0,3.0,1.0,no
Boeing 787,United Kingdom,Solo Leisure,London to Kuala Lumpur,Economy Class,1.0,4.0,5.0,3.0,0.0,1.0,1.0,no
Boeing 747,United States,Solo Leisure,Los Angeles to London Heathrow,Economy Class,2.0,2.0,1.0,1.0,0.0,4.0,2.0,no
Boeing 777-200,United Kingdom,Couple Leisure,Gatwick to Barbados,First Class,2.0,5.0,3.0,2.0,0.0,2.0,3.0,no
Boeing 787-9,United Kingdom,Solo Leisure,Moscow to London,First Class,5.0,5.0,5.0,5.0,0.0,5.0,5.0,yes
Boeing 777,United Kingdom,Couple Leisure,Bridgetown to Gatwick,Business Class,1.0,1.0,2.0,2.0,0.0,0.0,1.0,no
A319 / Boeing 777,United Kingdom,Couple Leisure,Glasgow to New York via London,Economy Class,4.0,5.0,4.0,5.0,2.0,5.0,4.0,yes
Boeing 777,Australia,Business,Sydney to London via Singapore,Business Class,1.0,1.0,2.0,1.0,0.0,1.0,1.0,no
A380,United Kingdom,Couple Leisure,Johannesburg to London,First Class,4.0,3.0,3.0,3.0,0.0,2.0,3.0,no
Boeing 777,Greece,Business,Antigua to Gatwick,Business Class,2.0,1.0,3.0,1.0,0.0,0.0,2.0,no
Boeing 777,United Kingdom,Couple Leisure,Gatwick to Barbados,First Class,2.0,2.0,1.0,2.0,0.0,1.0,1.0,no
Boeing 747-400,Canada,Couple Leisure,Cape Town to London,Business Class,2.0,1.0,3.0,1.0,0.0,3.0,1.0,no
A320,United Kingdom,Couple Leisure,Bucharest to London,Economy Class,1.0,1.0,1.0,0.0,0.0,0.0,1.0,no
Boeing 747-400,United Kingdom,Family Leisure,Miami to London,Economy Class,1.0,1.0,3.0,1.0,0.0,1.0,1.0,no
Boeing 777,United Kingdom,Couple Leisure,Nassau to London,Premium Economy,2.0,3.0,3.0,1.0,0.0,1.0,1.0,no
Boeing 747,Ghana,Business,Phoenix to Accra via London,Business Class,5.0,5.0,5.0,5.0,0.0,3.0,5.0,yes
Boeing 777,Germany,Solo Leisure,San Diego to Hannover via London,Economy Class,2.0,4.0,2.0,4.0,0.0,4.0,2.0,no
A380,United Kingdom,Couple Leisure,London to Johannesburg,First Class,5.0,5.0,4.0,5.0,0.0,4.0,4.0,yes
Boeing 747-400,Canada,Family Leisure,Vancouver to London Heathrow,Economy Class,5.0,5.0,5.0,4.0,0.0,2.0,4.0,yes
Boeing 747,Switzerland,Solo Leisure,Basel to San Fransisco via Heathrow,Premium Economy,2.0,3.0,5.0,2.0,0.0,3.0,2.0,no
A320,Sweden,Solo Leisure,Stockholm to London,Business Class,3.0,5.0,1.0,2.0,0.0,0.0,3.0,yes
Boeing 777-200,United Kingdom,Couple Leisure,Buenos Aires to London,Economy Class,1.0,2.0,1.0,1.0,0.0,1.0,1.0,no
Boeing 777,Saudi Arabia,Business,Riyadh to London,Business Class,1.0,2.0,3.0,2.0,0.0,3.0,1.0,no
A319,United Kingdom,Solo Leisure,Aberdeen to London,Economy Class,0.0,0.0,1.0,0.0,0.0,0.0,1.0,no
A320,Hungary,Family Leisure,London to Budapest,Economy Class,5.0,1.0,5.0,0.0,0.0,0.0,5.0,no
A321,United Kingdom,Solo Leisure,London to Athens,Economy Class,4.0,3.0,3.0,2.0,1.0,2.0,3.0,yes
Boeing 777-200,Australia,Solo Leisure,London to Bangkok,Business Class,3.0,3.0,3.0,2.0,1.0,1.0,2.0,no
A340-300,United Kingdom,Solo Leisure,Abu Dhabi to London,Economy Class,2.0,1.0,3.0,1.0,1.0,1.0,3.0,no
Boeing 777,United States,Business,Gatwick to Orlando,Business Class,1.0,2.0,2.0,3.0,1.0,1.0,1.0,no
A319 / Boeing 747,United Kingdom,Solo Leisure,Newcastle to Las Vegas via London,Business Class,4.0,4.0,4.0,4.0,0.0,3.0,5.0,yes
A320,United Kingdom,Solo Leisure,St Petersburg to London,Economy Class,5.0,5.0,5.0,3.0,0.0,0.0,3.0,yes
Boeing 787-9,United States,Business,London to Philadelphia,Business Class,1.0,1.0,2.0,2.0,0.0,3.0,1.0,no
Boeing 777-200,Spain,Business,Madrid to London,Business Class,4.0,5.0,4.0,4.0,0.0,0.0,4.0,yes
A321,Germany,Family Leisure,London to Munich,Economy Class,2.0,3.0,3.0,0.0,0.0,0.0,3.0,yes
Boeing 747-400,France,Couple Leisure,London to Cape Town,Economy Class,2.0,1.0,1.0,2.0,0.0,0.0,1.0,no
A321,Germany,Family Leisure,Munich to London Heathrow,Economy Class,2.0,4.0,5.0,0.0,0.0,0.0,3.0,yes
A319 / Boeing 747-400,United Kingdom,Solo Leisure,Manchester to Philadelphia via London,First Class,5.0,5.0,5.0,4.0,0.0,4.0,5.0,yes
Boieng 777-200,Netherlands,Business,Bangkok to London,Economy Class,3.0,2.0,1.0,2.0,0.0,3.0,2.0,no
Boeing 777,Canada,Solo Leisure,London to Toronto,Economy Class,1.0,3.0,2.0,3.0,0.0,2.0,1.0,no
A320,Austria,Business,London to Vienna,Economy Class,2.0,3.0,2.0,0.0,0.0,0.0,2.0,no
A380,Belgium,Business,Johannesburg to London,Business Class,2.0,2.0,4.0,1.0,0.0,1.0,2.0,no
Boeing 777-300ER,Singapore,Solo Leisure,Singapore to London Heathrow,Business Class,4.0,5.0,3.0,3.0,0.0,2.0,3.0,yes
Boeing 747-400,United Kingdom,Couple Leisure,London to Los Angeles,Business Class,1.0,1.0,3.0,1.0,1.0,1.0,3.0,no
Boeing 747,United Kingdom,Solo Leisure,Miami to London Heathrow,Premium Economy,1.0,5.0,1.0,3.0,0.0,2.0,2.0,no
Boeing 747-400,Netherlands,Family Leisure,London Heathrow to Miami,Economy Class,5.0,5.0,4.0,5.0,0.0,4.0,5.0,yes
A380,Germany,Solo Leisure,London to Singapore,Economy Class,5.0,5.0,4.0,5.0,0.0,4.0,5.0,yes
A321,United Kingdom,Family Leisure,London to Pisa,Business Class,1.0,4.0,4.0,4.0,0.0,0.0,1.0,no
"Boeing 787-9, A380",Malaysia,Business,Kuala Lumpur to London Heathrow,Premium Economy,3.0,4.0,5.0,3.0,0.0,3.0,4.0,yes
A319,United Kingdom,Couple Leisure,Los Angeles to Leeds via London Heathrow ,Business Class,4.0,4.0,1.0,4.0,2.0,3.0,3.0,no
A320,United Kingdom,Couple Leisure,Brindisi to London,Business Class,1.0,2.0,1.0,2.0,0.0,0.0,2.0,no
A380,United Kingdom,Couple Leisure,Chicago to London,Premium Economy,1.0,1.0,3.0,1.0,0.0,1.0,1.0,no
Boeing 777,Saudi Arabia,Solo Leisure,Riyadh to London ,Premium Economy,5.0,5.0,3.0,5.0,0.0,4.0,5.0,yes
A320 / Boeing 787-9,United States,Couple Leisure,Rome to Newark via London,Economy Class,4.0,4.0,4.0,3.0,0.0,3.0,3.0,yes
Boeing 747-400,United States,Business,London Heathrow to New York JFK,Business Class,3.0,4.0,1.0,2.0,5.0,3.0,3.0,no
Boeing 777-200,United Kingdom,Couple Leisure,London Heathrow to Dubai,First Class,4.0,5.0,4.0,5.0,2.0,3.0,4.0,yes
A320,United Kingdom,Couple Leisure,Heraklion to Gatwick,Economy Class,2.0,2.0,1.0,0.0,0.0,0.0,1.0,no
Boeing 767,Brazil,Solo Leisure,Madrid to London Heathrow,Business Class,3.0,5.0,5.0,5.0,0.0,0.0,5.0,yes
A321,United Kingdom,Couple Leisure,London Heathrow to Brindisi,Business Class,2.0,3.0,2.0,2.0,0.0,0.0,3.0,no
A320,United Kingdom,Business,London to Madrid,Economy Class,2.0,3.0,2.0,1.0,0.0,0.0,2.0,no
Boeing 747,United Kingdom,Solo Leisure,Glasgow to Miami via London,Premium Economy,3.0,5.0,4.0,5.0,0.0,2.0,4.0,yes
Airbus A32,United Kingdom,Solo Leisure,London Heathrow to Budapest,Economy Class,5.0,5.0,4.0,0.0,0.0,0.0,4.0,yes
A320,United Kingdom,Solo Leisure,Budapest to London Heathrow,Economy Class,4.0,4.0,5.0,0.0,0.0,0.0,4.0,yes
A319 / Boeing 787-9,Canada,Family Leisure,Pisa to Toronto via London,Business Class,4.0,5.0,5.0,5.0,0.0,4.0,5.0,yes
Boeing 747-400 / A319,Germany,Solo Leisure,Washington to Frankfurt via London,Economy Class,3.0,3.0,4.0,2.0,0.0,1.0,2.0,no
A380,United Kingdom,Solo Leisure,London Heathrow to Hong Kong,Economy Class,5.0,5.0,4.0,3.0,0.0,5.0,3.0,yes
A318,United Kingdom,Solo Leisure,London Heathrow to Düsseldorf,Economy Class,5.0,4.0,5.0,0.0,0.0,0.0,4.0,yes
A320,United Kingdom,Couple Leisure,London to Athens,Business Class,1.0,3.0,2.0,2.0,1.0,1.0,3.0,no
A380,United Kingdom,Family Leisure,London Heathrow to Singapore,First Class,5.0,5.0,5.0,5.0,0.0,4.0,5.0,yes
Boeing 787,United States,Couple Leisure,Philadelphia to London,Premium Economy,3.0,1.0,4.0,1.0,0.0,3.0,3.0,no
Boeing 747-400,United States,Family Leisure,London to Las Vegas,Economy Class,1.0,1.0,1.0,1.0,0.0,1.0,1.0,no
A380,Switzerland,Family Leisure,Los Angeles to Milan via London,Business Class,4.0,3.0,1.0,3.0,0.0,3.0,1.0,no
Boeing 777,Canada,Solo Leisure,Toronto to London,Premium Economy,3.0,5.0,4.0,2.0,0.0,2.0,3.0,yes
A380,United Kingdom,Couple Leisure,San Francisco to London Heathrow,Business Class,4.0,5.0,4.0,4.0,0.0,1.0,4.0,no
A321,United Kingdom,Couple Leisure,London to Paris,Economy Class,3.0,5.0,4.0,5.0,0.0,0.0,3.0,yes
A320,United Kingdom,Couple Leisure,Amsterdam to London,Economy Class,3.0,5.0,4.0,4.0,0.0,0.0,4.0,yes
Boeing 777,United Kingdom,Solo Leisure,New York JFK to London,First Class,4.0,5.0,5.0,3.0,0.0,0.0,4.0,no
A320,United Kingdom,Couple Leisure,Paphos to Gatwick,Business Class,3.0,5.0,1.0,3.0,0.0,0.0,3.0,no
A320,United Kingdom,Couple Leisure,Gatwick to Paphos,Business Class,3.0,5.0,4.0,4.0,0.0,0.0,4.0,yes
Boeing 747-400,United States,Family Leisure,New York to Nairobi via London,Business Class,2.0,5.0,2.0,2.0,0.0,2.0,2.0,no
Boeing 787-9,Germany,Business,London to Santiago de Chile,Premium Economy,4.0,5.0,4.0,4.0,0.0,4.0,5.0,yes
Boeing 777,United Kingdom,Couple Leisure,London Heathrow to Seattle Tacoma,Business Class,4.0,4.0,4.0,4.0,0.0,2.0,4.0,no
A320-200,United Kingdom,Family Leisure,London Gatwick to Tirana Rinas,Economy Class,4.0,4.0,5.0,3.0,0.0,0.0,3.0,yes
A320,China,Couple Leisure,London to Murcia ,Economy Class,5.0,5.0,3.0,5.0,0.0,0.0,5.0,yes
A321,United Kingdom,Solo Leisure,London to Amsterdam,Business Class,3.0,4.0,1.0,3.0,0.0,0.0,1.0,no
Boeing 777,United Kingdom,Family Leisure,Aberdeen to Abu Dhabi via London,Economy Class,3.0,1.0,1.0,1.0,0.0,4.0,3.0,no
A320 / Boeing 747-400,Czech Republic,Solo Leisure,Prague to Denver via London,Economy Class,3.0,5.0,1.0,5.0,0.0,3.0,2.0,no
A319,United Kingdom,Couple Leisure,Seville to Gatwick,Economy Class,2.0,1.0,1.0,1.0,0.0,0.0,3.0,no
Boeing 777 / A380,Australia,Business,HKG to LHR,Premium Economy,4.0,5.0,5.0,4.0,3.0,5.0,4.0,yes
A320,United Kingdom,Solo Leisure,Faro to Gatwick,Business Class,3.0,2.0,3.0,4.0,0.0,0.0,4.0,yes
A320,United Kingdom,Solo Leisure,Gatwick to Faro,Business Class,3.0,4.0,5.0,3.0,0.0,0.0,4.0,yes
Boeing 787-9 / A380-800,United States,Solo Leisure,Jeddah to Chicago via London,First Class,4.0,5.0,1.0,4.0,4.0,5.0,5.0,no
A321,Spain,Solo Leisure,Gatwick to Malaga,Business Class,4.0,5.0,3.0,5.0,0.0,0.0,5.0,yes
Boeing 777-200,United Kingdom,Couple Leisure,Bermuda to Gatwick,Business Class,4.0,3.0,4.0,1.0,0.0,4.0,2.0,yes
A319,Australia,Solo Leisure,London to Hamburg,Economy Class,4.0,3.0,5.0,0.0,0.0,0.0,3.0,yes
A320,United Kingdom,Solo Leisure,Munich to London Heathrow,Economy Class,4.0,4.0,5.0,2.0,0.0,0.0,3.0,yes
Boeing 777,China,Business,London to Shanghai,Business Class,1.0,5.0,2.0,4.0,0.0,2.0,3.0,no
Boeing 777,United Kingdom,Family Leisure,London to Tehran,Economy Class,1.0,1.0,4.0,1.0,0.0,0.0,1.0,no
A321,United Kingdom,Couple Leisure,Pisa to London Heathrow,Economy Class,1.0,3.0,3.0,0.0,0.0,0.0,2.0,no
Boeing 747,United Kingdom,Business,London Heathrow to Las Vegas,First Class,3.0,2.0,3.0,2.0,2.0,2.0,1.0,no
Boeing 747,Ireland,Couple Leisure,Dublin to Miami via London,Economy Class,1.0,1.0,1.0,1.0,0.0,0.0,1.0,no
Boeing 747 / 777,Netherlands,Solo Leisure,Delhi to London,Premium Economy,4.0,4.0,4.0,4.0,0.0,4.0,4.0,yes
Boeing 787(9),United Kingdom,Couple Leisure,Seychelles to London,Business Class,2.0,3.0,1.0,3.0,0.0,3.0,1.0,no
A320,United Kingdom,Couple Leisure,Gatwick to Gibraltar,Business Class,5.0,5.0,4.0,5.0,0.0,0.0,4.0,yes
A380,Canada,Business,London to Vancouver,First Class,2.0,4.0,2.0,2.0,0.0,2.0,4.0,no
Boeing 747,United States,Family Leisure,New York JFK to Rome via London Heathrow,Economy Class,3.0,5.0,1.0,5.0,5.0,5.0,1.0,no
Boeing 777,United Kingdom,Business,Newark to London Heathrow,Business Class,3.0,1.0,4.0,1.0,3.0,3.0,2.0,no
Boeing 747 and Boeing 777,United Kingdom,Couple Leisure,London Heathrow to Seattle,Business Class,4.0,5.0,5.0,5.0,0.0,4.0,3.0,yes
Boeing 747,United Kingdom,Solo Leisure,London to Johannesburg,Economy Class,1.0,1.0,4.0,1.0,1.0,1.0,2.0,no
Boeing 787,United Kingdom,Couple Leisure,Calgary to London,Premium Economy,1.0,1.0,2.0,1.0,1.0,2.0,2.0,no
Boeing 767,Switzerland,Business,London to Zurich,Economy Class,3.0,2.0,4.0,1.0,1.0,1.0,4.0,no
Boeing 747,United Kingdom,Couple Leisure,Glasgow to New York via London,Economy Class,2.0,4.0,3.0,4.0,0.0,3.0,3.0,no
Boeing 787,United Kingdom,Solo Leisure,London Heathrow to Baltimore,Economy Class,2.0,3.0,4.0,3.0,0.0,4.0,4.0,yes
A380 and 747,Ireland,Couple Leisure,London to Johannesburg,Business Class,2.0,3.0,3.0,3.0,0.0,0.0,1.0,no
Boeing 747-400,United Kingdom,Couple Leisure,Cape Town to London Heathrow,Business Class,2.0,3.0,3.0,2.0,0.0,2.0,3.0,no
Boeing 777-200 ER,Canada,Solo Leisure,Toronto to London,Premium Economy,3.0,5.0,5.0,4.0,0.0,3.0,4.0,yes
Boeing 747-400,United States,Couple Leisure,London to Chicago,Economy Class,5.0,5.0,4.0,4.0,0.0,4.0,5.0,yes
A320,United Kingdom,Couple Leisure,London Heathrow to Corfu ,Business Class,4.0,5.0,4.0,5.0,0.0,0.0,5.0,yes
A320,United Kingdom,Couple Leisure,Barcelona to Gatwick,Economy Class,3.0,1.0,3.0,1.0,0.0,0.0,2.0,no
Boeing 747 / A320,United States,Solo Leisure,Washington to Bucharest via London,Business Class,5.0,5.0,5.0,4.0,0.0,0.0,5.0,yes
A320,United Kingdom,Solo Leisure,London to Warsaw,Economy Class,2.0,2.0,3.0,0.0,0.0,0.0,3.0,no
A320,United Kingdom,Solo Leisure,London to Istanbul,Economy Class,3.0,5.0,2.0,1.0,0.0,0.0,1.0,no
Boeing 747-400,United Kingdom,Couple Leisure,London to Cape Town,First Class,4.0,2.0,4.0,4.0,0.0,3.0,3.0,yes
Boeing 747,United States,Solo Leisure,Miami to Hamburg via London,First Class,3.0,4.0,2.0,3.0,0.0,0.0,1.0,no
A380,United Kingdom,Business,Los Angeles to London Heathrow,Business Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
A320,United Kingdom,Family Leisure,London Heathrow to Mahon,Economy Class,3.0,2.0,1.0,0.0,0.0,0.0,2.0,no
Boeing 777-200,United Kingdom,Business,Dubai to London Heathrow,First Class,5.0,5.0,5.0,5.0,0.0,0.0,5.0,yes
A380,Singapore,Solo Leisure,London Heathrow to Singapore,Economy Class,4.0,3.0,4.0,4.0,0.0,3.0,4.0,yes
Boeing 747 400,United Kingdom,Couple Leisure,Washington to London,Premium Economy,1.0,4.0,2.0,2.0,0.0,1.0,1.0,no
A380,Australia,Business,Singapore to London,Economy Class,4.0,2.0,3.0,1.0,0.0,1.0,4.0,no
Boeing 777-200,Australia,Business,Sydney to London via Singapore,Economy Class,4.0,3.0,4.0,1.0,0.0,1.0,4.0,no
A321,Germany,Business,Munich to London,Economy Class,3.0,5.0,3.0,1.0,0.0,0.0,3.0,no
A320,Singapore,Solo Leisure,London to Reykjavik ,Economy Class,4.0,4.0,4.0,2.0,0.0,0.0,4.0,yes
Boeing 747-400,United Kingdom,Business,Cape Town to London,Business Class,3.0,1.0,3.0,1.0,0.0,1.0,2.0,no
Boeing 787 / A320,United States,Couple Leisure,Washington to Prague via London,Economy Class,1.0,3.0,2.0,3.0,0.0,4.0,3.0,no
Boeing 747,France,Solo Leisure,London to Washington,First Class,3.0,2.0,4.0,2.0,0.0,1.0,1.0,no
Boeing 747,United States,Solo Leisure,Washington to Glasgow via London,Economy Class,4.0,4.0,3.0,3.0,0.0,3.0,5.0,yes
Boeing 777-300ER / A320,Netherlands,Solo Leisure,Tokyo to Amsterdam via London,Economy Class,2.0,2.0,4.0,1.0,0.0,1.0,3.0,no
A320,United Kingdom,Business,Vienna to London Heathrow,Business Class,3.0,4.0,3.0,2.0,0.0,0.0,3.0,yes
A320,United Kingdom,Solo Leisure,London Heathrow to Vienna,Economy Class,1.0,1.0,1.0,1.0,0.0,2.0,1.0,no
Boeing 747,France,Business,London to Phoenix ,Business Class,4.0,3.0,4.0,4.0,1.0,1.0,4.0,yes
A319 / Boeing 777,Belgium,Solo Leisure,Brussels to Shanghai via London,Economy Class,5.0,5.0,2.0,5.0,0.0,4.0,5.0,yes
A380,United Kingdom,Solo Leisure,Chicago to London Heathrow,Economy Class,4.0,4.0,4.0,3.0,3.0,3.0,3.0,yes
A320 / Boeing 787,Greece,Couple Leisure,Athens to Philadelphia via London,Economy Class,4.0,4.0,4.0,2.0,4.0,4.0,3.0,no
Boeing 777,United Kingdom,Couple Leisure,Hong Kong to London,Business Class,2.0,5.0,4.0,3.0,0.0,3.0,4.0,no
A380,United States,Solo Leisure,Los Angeles to London Heathrow,Business Class,4.0,5.0,5.0,4.0,0.0,5.0,5.0,yes
A319 / Boeing 787-8,Germany,Solo Leisure,Hamburg to Abu Dhabi via London ,Premium Economy,3.0,2.0,1.0,2.0,0.0,4.0,2.0,no
Boeing 787-8,United Kingdom,Family Leisure,GIG to LHR,Business Class,4.0,3.0,4.0,3.0,3.0,4.0,3.0,yes
Boeing 747,United Kingdom,Solo Leisure,London Heathrow to Vancouver,Premium Economy,1.0,1.0,4.0,1.0,0.0,2.0,2.0,no
Boeing 767,Spain,Business,Madrid to London,Business Class,4.0,5.0,4.0,4.0,0.0,0.0,3.0,yes
A380,Ireland,Business,Singapore to Dublin via London,Business Class,2.0,5.0,2.0,4.0,0.0,3.0,2.0,no
Boeing 777-300,United Kingdom,Family Leisure,London to Sao Paulo,Business Class,4.0,4.0,5.0,4.0,4.0,5.0,4.0,yes
Boeing 777,Germany,Couple Leisure,Tampa to London Gatwick,Business Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
A319,Germany,Business,London Heathrow to Dusseldorf,Business Class,1.0,1.0,1.0,1.0,0.0,0.0,1.0,no
A320,Spain,Business,Madrid to London,Business Class,2.0,5.0,1.0,1.0,0.0,0.0,1.0,no
A321,United Kingdom,Business,London to Moscow,Business Class,1.0,4.0,1.0,1.0,0.0,0.0,2.0,no
Boeing 747-400,United Kingdom,Solo Leisure,Miami to London ,Economy Class,4.0,4.0,4.0,4.0,0.0,4.0,4.0,yes
Boeing 747-400,United Kingdom,Solo Leisure,London Heathrow to Dallas,Economy Class,3.0,3.0,3.0,3.0,0.0,2.0,2.0,no
A320,Sweden,Business,London to Copenhagen ,Business Class,2.0,3.0,3.0,1.0,0.0,0.0,2.0,no
A380,United Kingdom,Family Leisure,Los Angeles to London,Premium Economy,1.0,1.0,1.0,2.0,1.0,3.0,1.0,no
A321/A319,United Kingdom,Business,LHR to CDG,Economy Class,4.0,5.0,4.0,2.0,0.0,0.0,4.0,yes
Boeing 777-300,United Kingdom,Family Leisure,São Paulo to London Heathrow,Premium Economy,2.0,1.0,2.0,2.0,0.0,3.0,2.0,no
