aircraft_type,country,type_of_travellers,route,seat_types,seat_comfort,cabin_staff_service,ground_service,food_beverages,wifi_connectivity,inflight_entertainment,value_for_money,recommended
Boeing 777,Dominican Republic,Solo Leisure,Punta Cana to Gatwick,Business Class,1.0,1.0,4.0,1.0,0.0,1.0,2.0,no
Boeing 777-200 / 747-400,United States,Family Leisure,London to Washington,Economy Class,3.0,4.0,3.0,1.0,1.0,3.0,3.0,no
Boeing 747-400,United States,Family Leisure,London to New York JFK,Economy Class,5.0,4.0,4.0,1.0,0.0,4.0,4.0,yes
A320,United Kingdom,Solo Leisure,Malaga to Gatwick,Economy Class,2.0,1.0,5.0,2.0,0.0,0.0,1.0,no
Boeing 747-400,Norway,Couple Leisure,Stavanger to Las Vegas via London,Economy Class,4.0,4.0,5.0,3.0,0.0,4.0,4.0,yes
A320,United Kingdom,Business,Gatwick to Rome,Economy Class,2.0,3.0,3.0,1.0,0.0,0.0,2.0,no
A320,United Kingdom,Business,LHR to IST,Business Class,1.0,1.0,1.0,1.0,1.0,1.0,3.0,no
Boeing 747-400,United Kingdom,Solo Leisure,Los Angeles to London Heathrow,Economy Class,1.0,3.0,3.0,1.0,0.0,2.0,1.0,no
A321,United States,Business,London to Milan,Economy Class,4.0,1.0,1.0,1.0,0.0,0.0,1.0,yes
Boeing 777,Bulgaria,Family Leisure,Sofia to Boston via London,Business Class,5.0,5.0,5.0,5.0,0.0,4.0,5.0,yes
Boeing 777-300,Australia,Business,LHR to SYD via SIN,First Class,5.0,4.0,5.0,5.0,0.0,5.0,5.0,yes
B777-300ER / A320 / A380,China,Couple Leisure,Copenhagen to Hong Kong via London,Business Class,5.0,5.0,5.0,4.0,0.0,5.0,5.0,yes
Boeing 777,United Kingdom,Couple Leisure,London Gatwick to San Jose Costa Rica,Business Class,3.0,1.0,4.0,1.0,0.0,0.0,2.0,no
Boeing 747,United Kingdom,Business,San Diego to London,Premium Economy,1.0,2.0,1.0,1.0,0.0,1.0,1.0,no
Boeing 777-200,United Kingdom,Solo Leisure,Philadelphia to Edinburgh via Heathrow,Economy Class,2.0,4.0,5.0,2.0,0.0,2.0,4.0,no
Boeing 747-400,United Kingdom,Business,London Heathrow to New York JFK,Business Class,2.0,3.0,2.0,1.0,0.0,1.0,1.0,no
Boeing 767,Australia,Couple Leisure,Rome to London,Business Class,1.0,4.0,1.0,4.0,1.0,1.0,3.0,no
Boeing 787-8,United Kingdom,Business,London to New Orleans,Economy Class,1.0,3.0,2.0,1.0,1.0,2.0,1.0,no
Boeing 777-300,United States,Couple Leisure,DFW to LHR,Premium Economy,3.0,4.0,3.0,4.0,3.0,3.0,2.0,no
A219,United Kingdom,Couple Leisure,London Heathrow to Brussels,Business Class,3.0,5.0,4.0,4.0,0.0,0.0,3.0,yes
A380,United Kingdom,Business,Miami to London,Business Class,3.0,5.0,4.0,2.0,0.0,4.0,2.0,no
Boeing 747,Germany,Business,Cape Town to Berlin via London,Premium Economy,3.0,5.0,3.0,1.0,0.0,2.0,1.0,no
A320,United Kingdom,Couple Leisure,Marrakech to London Gatwick,Economy Class,3.0,1.0,3.0,1.0,0.0,0.0,3.0,no
